firma,2019,2018,2017,2016
Auchan Holding,41073.7,42801.4,38537.0,38696.0
Albertsons Cos.,20776.6,21812.3,23755.0,-
Mitsubishi UFJ Financial Group,2811411.4,2886649.3,2722354.0,2654413.0
Unilever,67958.2,72388.3,59512.0,56806.0
Centene,30901.0,21855.0,20197.0,7339.0
Sinopharm,49823.4,43301.2,36767.0,-
Walt Disney,98598.0,95789.0,92033.0,88182.0
POSCO,70607.7,74538.1,66361.0,68880.0
Sysco,18070.4,17756.7,16722.0,17989.0
HP,34622.0,32913.0,29010.0,106882.0
Société Générale,1496676.2,1531133.5,1457753.0,1449415.0
Pertamina,64718.5,51213.6,47233.0,45519.0
Telefónica,130355.7,138167.6,130396.0,133574.0
Country Garden Holdings,237367.5,161190.0,85124.0,-
Tokyo Electric Power,115274.2,118422.1,110202.0,121550.0
Humana,25413.0,27178.0,25396.0,24705.0
Brookfield Asset Management,256281.0,192720.0,159826.0,-
Hengli Group,22400.3,18360.2,14838.0,-
Alibaba Group Holding,143608.2,113979.4,73538.0,-
RWE,91563.4,82923.9,80576.0,86173.0
Facebook,97334.0,84524.0,64961.0,-
LG Electronics,39731.5,38509.9,31348.0,30977.0
Nippon Steel Corporation,72734.5,71404.2,65182.0,57173.0
Christian Dior,88320.8,87370.3,69870.0,66879.0
China Merchants Bank,982526.0,967082.0,855070.0,843135.0
Guangzhou Automobile Industry Group,42549.7,39171.0,30267.0,26847.0
Caterpillar,78509.0,76962.0,74704.0,78497.0
Itaú Unibanco Holding,400690.8,432701.8,415972.0,322735.0
Anheuser-Busch InBev,232103.0,246126.0,258381.0,134635.0
Korea Electric Power,166038.4,169832.7,147265.0,149499.0
Energy Transfer,88246.0,86246.0,79011.0,71189.0
Wesfarmers,27282.4,30763.0,30358.0,31045.0
América Móvil,72580.0,75968.6,73555.0,75081.0
Lockheed Martin,44876.0,46521.0,47806.0,49128.0
Pfizer,159422.0,171797.0,171615.0,167460.0
China Pacific Insurance (Group),194584.5,179856.3,146873.0,142270.0
Repsol,69469.3,71874.4,68392.0,68514.0
Novartis,145563.0,133079.0,130124.0,131556.0
Greenland Holding Group,150974.5,130303.0,105495.0,92466.0
China National Building Material Group,84608.2,90846.9,81224.0,-
