firma,2019,2018,2017,2016
Archer Daniels Midland,64341.0,60828.0,62346.0,67702.0
Prudential Financial,62992.0,59689.0,58779.0,57119.0
Mitsui,62751.4,44155.0,40275.0,39647.0
Petronas,62230.6,52028.0,49479.0,63466.0
Seven &amp; I Holdings,61486.5,54217.0,53858.0,50099.0
Oil &amp; Natural Gas,61420.4,51219.0,-,-
PowerChina,61224.0,53870.0,48869.0,45607.0
Toyota Tsusho,60994.3,58586.0,-,-
Roche Group,60846.2,56634.0,53427.0,52390.0
Auchan Holding,60749.2,60028.0,58862.0,60158.0
Albertsons Cos.,60534.5,59925.0,59678.0,-
Mitsubishi UFJ Financial Group,60405.3,54769.0,55185.0,47600.0
Unilever,60167.3,60548.0,58292.0,59093.0
Centene,60116.0,48572.0,40721.0,22795.0
Sinopharm,59980.2,51844.0,47810.0,-
Walt Disney,59434.0,55137.0,55632.0,52465.0
POSCO,59223.2,53244.0,45621.0,51752.0
Sysco,58727.3,55371.0,50367.0,48681.0
HP,58472.0,52056.0,48238.0,103355.0
Société Générale,58390.0,69948.0,69335.0,107736.0
Pertamina,57933.6,42959.0,36487.0,41763.0
Telefónica,57465.9,58624.0,57544.0,60917.0
Country Garden Holdings,57308.7,33572.0,23044.0,-
Tokyo Electric Power,57167.4,52809.0,49446.0,50561.0
Humana,56912.0,53767.0,54379.0,54289.0
Brookfield Asset Management,56771.0,40786.0,24411.0,-
Hengli Group,56198.6,45563.0,37880.0,-
Alibaba Group Holding,56147.2,37771.0,23517.0,-
RWE,56016.7,47832.0,48204.0,51617.0
Facebook,55838.0,40653.0,27638.0,-
LG Electronics,55757.4,54314.0,47712.0,49996.0
Nippon Steel Corporation,55720.2,51164.0,42757.0,40878.0
Christian Dior,55262.6,49221.0,42113.0,41901.0
China Merchants Bank,55063.5,47951.0,44552.0,48459.0
Guangzhou Automobile Industry Group,55037.2,50323.0,41560.0,34440.0
Caterpillar,54722.0,45462.0,38537.0,47011.0
Itaú Unibanco Holding,54662.5,66287.0,66876.0,55082.0
Anheuser-Busch InBev,54619.0,56444.0,45905.0,43604.0
Korea Electric Power,54567.9,52492.0,51500.0,51805.0
Energy Transfer,54436.0,47487.0,37504.0,42126.0
Wesfarmers,53985.3,51600.0,48003.0,51931.0
América Móvil,53977.6,54006.0,52201.0,56361.0
Lockheed Martin,53762.0,51048.0,50658.0,46132.0
Pfizer,53647.0,52546.0,52824.0,48851.0
China Pacific Insurance (Group),53572.1,47319.0,40193.0,39336.0
Repsol,53176.0,41863.0,34485.0,39419.0
Novartis,53166.0,50135.0,49436.0,51030.0
Greenland Holding Group,52720.9,42970.0,37240.0,33024.0
China National Building Material Group,52610.6,44701.0,39323.0,-
Goldman Sachs Group,52528.0,42254.0,37712.0,39208.0
Continental,52404.7,49608.0,44842.0,43519.0
Vinci,52345.2,46302.0,42771.0,43618.0
Finatis,52272.0,51578.0,48154.0,51960.0
Deutsche Bahn,52004.1,48124.0,44850.0,44818.0
Sumitomo Mitsui Financial Group,51728.0,52026.0,47375.0,39751.0
Alimentation Couche-Tard,51394.4,37905.0,34145.0,34530.0
Shandong Energy Group,51245.6,45650.0,29299.0,25136.0
Lenovo Group,51037.9,45350.0,43035.0,44912.0
Industrial Bank,50991.4,45491.0,42622.0,46446.0
HBIS Group,50920.6,45390.0,43769.0,-
ThyssenKrupp,50856.1,47389.0,43589.0,48981.0
Shanghai Pudong Development Bank,50545.7,46295.0,40689.0,42030.0
Vodafone Group,50532.4,59838.0,58611.0,61690.0
Morgan Stanley,50193.0,43642.0,37949.0,37897.0
JBS,49709.7,51118.0,48825.0,48870.0
Zhejiang Geely Holding Group,49665.4,41172.0,31430.0,26304.0
Banco Bradesco,49612.3,58062.0,57443.0,43740.0
MS&amp;AD Insurance Group Holdings,49609.6,47095.0,49239.0,41758.0
Groupe BPCE,49529.3,61128.0,70517.0,56209.0
Tokio Marine Holdings,49395.7,48731.0,48292.0,38143.0
Cisco Systems,49330.0,48005.0,49247.0,49161.0
Saint-Gobain,49300.4,46002.0,43231.0,46169.0
Kia Motors,49238.4,47360.0,45425.0,43792.0
Orange,48836.5,46324.0,45249.0,44651.0
Cigna,48650.0,41616.0,39668.0,37876.0
Denso,48368.0,46106.0,41781.0,37688.0
Sumitomo,48155.7,43570.0,36888.0,33409.0
China Minsheng Banking,47981.3,43298.0,40234.0,42449.0
Woolworths Group,47842.1,-,43925.0,50618.0
Banco Bilbao Vizcaya Argentaria,47608.0,46508.0,43698.0,42968.0
American International Group,47389.0,49520.0,52367.0,58327.0
State Bank of India,47286.0,47551.0,44533.0,41681.0
Tencent Holdings,47272.7,35179.0,22871.0,-
Zurich Insurance Group,47180.0,63961.0,67245.0,60568.0
Deutsche Bank,46969.5,46511.0,48876.0,52422.0
Bayer,46718.1,51933.0,52569.0,52437.0
HCA Healthcare,46677.0,-,44747.0,43591.0
China Poly Group,46207.1,37002.0,31508.0,26675.0
China Shipbuilding Industry,46114.4,44431.0,42149.0,36012.0
China Merchants Group,45925.7,39971.0,-,-
KDDI,45820.8,45508.0,43822.0,37202.0
BHP Group,45809.0,38285.0,30912.0,52267.0
Bunge,45743.0,45794.0,42679.0,43455.0
CNP Assurances,45461.3,50737.0,47804.0,49305.0
Wuchan Zhongda Group,45435.0,40929.0,31185.0,29052.0
Sinomach,45424.0,-,32237.0,35134.0
Aluminum Corp. of China,45383.8,46684.0,40278.0,37996.0
SABIC,45096.4,39939.0,35421.0,39481.0
Volvo,44957.0,39172.0,35269.0,37061.0
China Vanke,44912.6,35117.0,34458.0,29329.0
Sberbank,44898.4,49698.0,42159.0,45608.0
Royal Bank of Canada,44609.3,38551.0,34904.0,34795.0
American Airlines Group,44541.0,42207.0,40180.0,40990.0
Wilmar International,44497.7,43846.0,41402.0,38777.0
Pegatron,44453.3,39238.0,35891.0,38239.0
Delta Air Lines,44438.0,41244.0,39639.0,40704.0
Hanwha,44303.0,44590.0,40606.0,36590.0
China United Network Communications,43974.4,40664.0,41274.0,44085.0
Shaanxi Yanchang Petroleum (Group),43858.1,38898.0,32652.0,31755.0
Charter Communications,43634.0,41581.0,29003.0,-
Tata Motors,43599.2,45842.0,40329.0,42092.0
ZF Friedrichshafen,43582.4,41080.0,38888.0,32340.0
Metro,26129.4,40957.0,64853.0,71266.0
New York Life Insurance,43425.3,42296.0,40787.0,45891.0
Banco do Brasil,43332.9,55269.0,58093.0,67071.0
American Express,43281.0,35583.0,33823.0,34441.0
Nationwide,43270.0,43940.0,40074.0,40222.0
ACS,43263.2,39338.0,36992.0,38741.0
Shandong Weiqiao Pioneering Group,43008.4,53203.0,56174.0,53026.0
UBS Group,42960.0,37317.0,36230.0,38511.0
Bharat Petroleum,42935.6,36851.0,30316.0,29082.0
Best Buy,42879.0,42151.0,39403.0,39745.0
Xiamen C&amp;D,42726.3,32588.0,22145.0,-
Liberty Mutual Insurance Group,42685.0,42687.0,38308.0,39450.0
China COSCO Shipping,42607.7,34668.0,29743.0,22965.0
Jardine Matheson,42527.0,39456.0,-,37007.0
Shaanxi Coal &amp; Chemical Industry,42418.8,-,-,30331.0
Talanx,42390.5,38603.0,35101.0,35379.0
China National Aviation Fuel Group,42370.9,31942.0,24588.0,22101.0
Lufthansa Group,42302.0,40105.0,35011.0,35559.0
Merck,42294.0,40122.0,39807.0,39498.0
China Huaneng Group,42280.9,38872.0,37543.0,43224.0
Bouygues,42179.2,37259.0,35277.0,36074.0
Sanofi,42104.9,40810.0,41376.0,41460.0
China Everbright Group,41879.7,35840.0,32461.0,32901.0
Honeywell International,41802.0,40534.0,39302.0,38581.0
Xiamen ITG Holding Group,41437.5,32902.0,21930.0,-
Iberdrola,41395.4,35240.0,32308.0,34852.0
United Airlines Holdings,41303.0,37736.0,36556.0,37864.0
Maersk Group,41256.0,37500.0,35464.0,40308.0
Toronto-Dominion Bank,41198.7,34501.0,30855.0,30174.0
GlaxoSmithKline,41108.5,38868.0,37642.0,36550.0
TIAA,41052.1,36025.0,37105.0,35181.0
Accenture,40993.0,36766.0,34798.0,32914.0
Magna International,40827.0,38946.0,36445.0,33871.0
Mitsubishi Electric,40766.1,39995.0,39119.0,36604.0
Cedar Holdings Group,40640.8,32712.0,-,-
Louis Dreyfus,40571.0,55440.0,49838.0,55733.0
Rio Tinto Group,40522.0,40030.0,33781.0,34829.0
Edeka Zentrale,40454.2,37125.0,34193.0,32017.0
Caixa Econômica Federal,40240.5,-,-,-
Tyson Foods,40052.0,38260.0,36881.0,41373.0
Oracle,39831.0,37728.0,37047.0,38226.0
Allstate,39815.0,38524.0,36534.0,35653.0
World Fuel Services,39750.3,33696.0,27016.0,30380.0
ING Group,39598.2,56347.0,55282.0,66206.0
Centrica,39594.7,36083.0,36580.0,42734.0
Midea Group,39581.6,35794.0,24060.0,22174.0
Fresenius,39571.0,38197.0,32161.0,30645.0
Massachusetts Mutual Life Insurance,39267.2,33495.0,37788.0,-
Intesa Sanpaolo,39050.6,-,-,-
LyondellBasell Industries,39004.0,-,-,-
TJX,38972.9,-,-,-
Yankuang Group,38887.3,29474.0,-,-
ConocoPhillips,38727.0,32584.0,24360.0,30935.0
Barclays,38278.3,34507.0,36789.0,49490.0
J. Sainsbury,38064.0,37711.0,34149.0,35391.0
China Aerospace Science &amp; Industry,37869.8,34073.0,30582.0,27867.0
China Aerospace Science &amp; Technology,37727.6,34254.0,32094.0,30554.0
Meiji Yasuda Life Insurance,37722.9,37160.0,35767.0,35623.0
George Weston,37474.8,37212.0,36211.0,36683.0
SNCF Mobilités,37388.9,35880.0,33747.0,32497.0
Daiwa House Industry,37371.2,34262.0,32421.0,26596.0
ABB,37360.0,34312.0,33828.0,35481.0
Deere,37357.7,29738.0,26644.0,28863.0
Tech Data,37239.0,36775.0,26235.0,26380.0
Power Corp. of Canada,37112.2,39493.0,38286.0,29933.0
Swiss Re,37047.0,42487.0,43786.0,35714.0
Suning.com Group,37032.2,-,22366.0,-
Mitsubishi Heavy Industries,36783.5,37103.0,36122.0,33709.0
SK Hynix,36763.1,26636.0,-,-
Vale,36696.0,35713.0,29363.0,25609.0
Enterprise Products Partners,36534.2,29242.0,23022.0,27028.0
XMXYG,36503.7,31676.0,-,-
Aisin Seiki,36465.7,35281.0,32879.0,27015.0
Jiangsu Shagang Group,36440.9,32561.0,29862.0,32751.0
Nike,36397.0,34350.0,32376.0,30601.0
Publix Super Markets,36395.7,34837.0,34274.0,32619.0
General Dynamics,36193.0,30973.0,31353.0,31469.0
Exelon,35985.0,33531.0,31360.0,29447.0
Canon,35796.9,36388.0,31271.0,31401.0
Enbridge,35785.0,34196.0,26073.0,26436.0
