firma,2019,2018,2017,2016
Banco do Brasil,3782.9,3329.8,2013.8,4221.0
American Express,6921.0,2736.0,5408.0,5163.0
Nationwide,512.6,246.5,334.3,581.0
ACS,1079.9,904.0,830.5,805.0
Shandong Weiqiao Pioneering Group,852.6,1270.0,1217.2,1121.0
UBS Group,4516.0,1069.8,3252.2,6448.0
Bharat Petroleum,1115.7,1397.5,1300.5,1219.0
Best Buy,1464.0,1000.0,1228.0,897.0
Xiamen C&amp;D,631.3,305.1,280.2,-
Liberty Mutual Insurance Group,2160.0,17.0,1006.0,514.0
China COSCO Shipping,1554.5,1404.3,1489.0,1145.0
Jardine Matheson,1732.0,3785.0,-,1797.0
Shaanxi Coal &amp; Chemical Industry,90.8,-,-,-247.0
Talanx,829.7,757.5,1003.0,814.0
China National Aviation Fuel Group,476.2,401.6,320.0,334.0
Lufthansa Group,2552.7,2664.7,1964.0,1884.0
Merck,6220.0,2394.0,3920.0,4442.0
China Huaneng Group,8.9,215.6,-85.9,775.0
Bouygues,1547.2,1223.0,809.5,447.0
Sanofi,5081.8,9506.9,5207.4,4756.0
China Everbright Group,1890.8,1895.1,1877.8,2114.0
Honeywell International,6765.0,1655.0,4809.0,4768.0
Xiamen ITG Holding Group,62.8,106.3,35.6,-
Iberdrola,3557.1,3160.7,2991.3,2686.0
United Airlines Holdings,2129.0,2131.0,2263.0,7340.0
Maersk Group,3169.0,-1205.0,-1939.0,791.0
Toronto-Dominion Bank,8751.5,7946.7,6646.1,6361.0
GlaxoSmithKline,4832.3,1972.6,1230.9,12867.0
TIAA,1560.5,1049.7,1492.3,1214.0
Accenture,4059.9,3445.1,4111.9,3054.0
Magna International,2296.0,2206.0,2031.0,2013.0
Mitsubishi Electric,2044.2,2453.9,1942.6,1903.0
Cedar Holdings Group,844.7,1068.1,-,-
Louis Dreyfus,355.0,317.0,305.0,211.0
Rio Tinto Group,13638.0,8762.0,4617.0,-866.0
Edeka Zentrale,380.0,345.0,356.0,277.0
Caixa Econômica Federal,2833.3,-,-,-
Tyson Foods,3024.0,1774.0,1768.0,1220.0
Oracle,3825.0,9335.0,8901.0,9938.0
Allstate,2252.0,3189.0,1877.0,2171.0
World Fuel Services,127.7,-170.2,126.5,187.0
ING Group,5618.8,6159.1,5501.6,5464.0
