firma,2019,2018,2017,2016
Zhejiang Geely Holding Group,124846,77073,60712,45720
Banco Bradesco,86772,86317,94541,79782
MS&amp;AD Insurance Group Holdings,41467,41295,40641,40617
Groupe BPCE,100245,104770,102827,102886
Tokio Marine Holdings,40848,39191,38842,36902
Cisco Systems,74200,72900,73700,71833
Saint-Gobain,181001,179149,172696,168114
Kia Motors,52578,51789,51357,50348
Orange,150711,151556,155202,156191
Cigna,73800,46000,41000,39300
Denso,171992,168813,154493,151775
Sumitomo,65662,73016,70900,66860
China Minsheng Banking,58338,57882,58720,59510
Woolworths Group,201522,-,205000,197000
Banco Bilbao Vizcaya Argentaria,125627,131856,134792,137968
American International Group,49600,49800,56400,66400
State Bank of India,257252,264041,278872,293459
Tencent Holdings,54309,44796,38775,-
Zurich Insurance Group,52267,51633,52473,54335
Deutsche Bank,91737,97535,99744,101104
Bayer,116998,99820,115170,116800
HCA Healthcare,229000,-,210500,203500
China Poly Group,97527,88407,76425,70437
China Shipbuilding Industry,165274,173201,182129,181781
China Merchants Group,115281,108737,-,-
KDDI,41996,38826,35032,31834
BHP Group,27161,26146,26827,42829
Bunge,31000,31000,32000,33000
CNP Assurances,5243,5171,5035,4740
Wuchan Zhongda Group,20142,19071,18150,18218
Sinomach,147099,-,115390,116722
Aluminum Corp. of China,124965,123293,121146,133799
SABIC,33000,34000,35000,40000
Volvo,98652,93296,89477,93983
China Vanke,104300,77708,58280,42295
Sberbank,293752,310277,325075,330677
Royal Bank of Canada,81870,78210,75510,72839
American Airlines Group,128900,126600,122300,118500
Wilmar International,90000,90000,90000,92000
Pegatron,156477,130052,196251,196251
Delta Air Lines,88680,86564,83756,82949
Hanwha,58070,52909,49000,46000
China United Network Communications,246299,252522,253724,231299
Shaanxi Yanchang Petroleum (Group),136016,130614,134134,135225
Charter Communications,98000,94800,91500,-
Tata Motors,81090,81090,79558,76500
ZF Friedrichshafen,148969,146148,136820,138269
Metro,53954,135890,196540,203773
New York Life Insurance,11388,11114,11320,11463
Banco do Brasil,96889,99161,100622,109191
American Express,59000,55000,56400,54800
Nationwide,30472,33135,34320,34032
ACS,195461,122120,117542,127362
Shandong Weiqiao Pioneering Group,106044,117718,135393,140358
UBS Group,66888,61253,59387,60099
Bharat Petroleum,12865,12924,13395,13535
Best Buy,125000,125000,125000,125000
Xiamen C&amp;D,24016,21133,18381,-
Liberty Mutual Insurance Group,50000,50000,50000,50000
China COSCO Shipping,111397,100550,106478,82708
Jardine Matheson,469000,444000,-,440000
Shaanxi Coal &amp; Chemical Industry,120095,-,-,132007
Talanx,20780,20419,20039,20334
China National Aviation Fuel Group,13181,12643,11739,11481
Lufthansa Group,115882,110917,107276,103158
Merck,69000,69000,68000,68000
China Huaneng Group,136031,138473,143691,142910
Bouygues,129275,115530,117997,120254
Sanofi,104226,106570,113816,115631
China Everbright Group,70000,66100,61400,59500
Honeywell International,114000,131000,131000,129000
Xiamen ITG Holding Group,23159,19639,18454,-
Iberdrola,33216,28750,28389,27169
United Airlines Holdings,92000,89800,88000,84000
Maersk Group,84404,85667,87736,88355
Toronto-Dominion Bank,84383,83160,81233,81483
GlaxoSmithKline,95490,98462,99300,101255
TIAA,17643,16829,12997,12735
Accenture,459000,425000,384000,358000
Magna International,174000,168000,155450,128975
Mitsubishi Electric,145817,142340,138700,135160
Cedar Holdings Group,31547,31065,-,-
Louis Dreyfus,16785,17210,17407,17555
Rio Tinto Group,47458,46807,51029,54938
Edeka Zentrale,376000,369000,351500,346800
Caixa Econômica Federal,84952,-,-,-
Tyson Foods,121000,122000,114000,113000
Oracle,137000,138000,136000,132000
Allstate,45420,42680,43275,41350
World Fuel Services,5000,5000,5000,4700
ING Group,53768,54302,51943,57553
Centrica,31780,34901,38278,38848
Midea Group,114765,101826,126418,93299
Fresenius,276750,273249,232873,222305
Massachusetts Mutual Life Insurance,9844,11811,11737,-
Intesa Sanpaolo,92117,-,-,-
LyondellBasell Industries,19450,-,-,-
TJX,270000,-,-,-
Yankuang Group,104668,104746,-,-
ConocoPhillips,10800,11400,13300,15900
Barclays,83500,79900,119300,129400
J. Sainsbury,116400,121200,118700,108300
China Aerospace Science &amp; Industry,146346,145987,148682,142709
China Aerospace Science &amp; Technology,179788,173102,170357,161022
Meiji Yasuda Life Insurance,42950,42261,41872,41045
George Weston,197000,198000,195000,196000
SNCF Mobilités,203865,201816,193718,196152
Daiwa House Industry,44947,60539,60539,47143
ABB,146600,134800,132300,135800
Deere,74413,60476,56767,57180
Tech Data,14000,14000,9500,9000
Power Corp. of Canada,30000,30484,30259,26500
Swiss Re,14943,14485,14053,12767
Suning.com Group,130455,-,60354,-
Mitsubishi Heavy Industries,80744,80652,82728,83932
SK Hynix,33000,28000,-,-
Vale,70270,74098,73062,74098
Enterprise Products Partners,7000,7000,6800,6800
XMXYG,10350,7926,-,-
Aisin Seiki,119732,114478,99389,99389
Jiangsu Shagang Group,31290,34634,35133,36710
Nike,73100,74400,70700,62600
Publix Super Markets,202000,193000,191000,180000
General Dynamics,105600,98600,98800,99900
Exelon,33383,34621,34396,29762
Canon,195056,197776,197673,189571
Enbridge,12000,12700,7733,8652
Jizhong Energy Group,112859,118660,127298,128372
E.ON,43302,42699,43138,56490
Fujitsu,132138,140365,155069,156515
Mizuho Financial Group,59132,60051,59179,56375
Mitsubishi Chemical Holdings,72020,69230,69291,68988
CK Hutchison Holdings,300000,300000,290000,270000
Lloyds Banking Group,64928,67905,70433,75306
Idemitsu Kosan,9476,8955,9139,9203
Poste Italiane,132388,136555,136739,142798
JFE Holdings,62083,61234,60439,59460
Suzuki Motor,67721,65179,62992,61601
Jiangxi Copper,23194,24416,25460,26258
CRRC Group,187959,-,-,-
Credit Suisse Group,45680,46840,47170,48200
Tsingshan Holding Group,56088,-,-,-
State Power Investment,124678,127182,127343,126878
Taiwan Semiconductor Manufacturing,48752,48602,46968,45272
China Energy Engineering Group,129929,168260,169173,169823
Quanta Computer,112421,109624,92698,90167
Plains GP Holdings,4900,4850,-,5400
China South Industries Group,198932,211716,232817,238287
Yango Longking Group,21849,-,10234,-
Jinchuan Group,27594,-,-,-
China Electronics Technology Group,179636,168923,158064,140493
Toshiba,128697,141256,-,188000
Prudential,23792,24711,23673,23924
Commonwealth Bank of Australia,45753,45614,45129,45948
Bridgestone,143509,142669,143616,144303
China Electronics,135297,137135,144659,127875
GS Caltex,3212,2920,2949,3969
Sompo Holdings,49837,48544,47430,-
